City,Country,2000 Census,2010 Census,2014 Estimate
Afton,Lincoln,1.818,1.911,1.968
Albin,Laramie,120,181,185
Alpine,Lincoln,550,828,845
Baggs,Carbon,348,440,439
Bairoil,Sweetwater,97,106,107
Bar Nunn,Natrona,936,2.213,2.735
"Basin ",Big Horn,1.238,1.285,1.312
Bear River,Uinta,117.5,518,521
Big Piney,Sublette,408,552,538
"Buffalo ",Johnson,3.9,4.585,4.615
Burlington,Big Horn,250,288,332
Burns,Laramie,285,301,305
Byron,Big Horn,557,593,609
"Casper ",Natrona,32.644,35.316,40.086
"Cheyenne ",Laramie,53.011,59.466,62.845
Chugwater,Platte,244,212,216
Clearmont,Sheridan,115,142,142
"Cody ",Park,8.835,9.52,9.74
Cokeville,Lincoln,506,535,542
Cowley,Big Horn,560,655,718
Dayton,Sheridan,678,757,794
Deaver,Big Horn,177,178,184
Diamondville,Lincoln,716,737,740
Dixon,Carbon,79,97,97
"Douglas ",Converse,5.288,6.12,6.423
Dubois,Fremont,962,971,998
East Thermopolis,Hot Springs,274,254,252
Edgerton,Natrona,169,195,199
Elk Mountain,Carbon,192,191,196
"Evanston ",Uinta,11.507,12.359,12.19
Evansville,Natrona,2.255,2.544,2.831
Fort Laramie,Goshen,243,230,227
Frannie,Park,209,157,162
"Gillette ",Campbell,19.646,29.087,31.971
Glendo,Platte,229,205,201
Glenrock,Converse,2.231,2.576,2.583
Grand Encampment,Carbon,443,450,443
Granger,Sweetwater,146,139,139
"Green River ",Sweetwater,11.808,12.515,12.63
Greybull,Big Horn,1.815,1.847,1.868
Guernsey,Platte,1.147,1.147,1.193
Hanna,Carbon,873,841,831
Hartville,Platte,76,62,62
Hudson,Fremont,407,458,462
Hulett,Crook,408,383,400
"Jackson ",Teton,8.647,9.577,10.449
Kaycee,Johnson,249,263,260
"Kemmerer ",Lincoln,2.651,2.656,2.732
Kirby,Hot Springs,57,92,93
La Barge,Lincoln,431,551,553
La Grange,Goshen,332,448,455
"Lander ",Fremont,6.867,7.487,7.642
"Laramie ",Albany,27.204,30.816,32.081
Lingle,Goshen,510,468,467
Lost Springs,Converse,1,4,4
Lovell,Big Horn,2.281,2.36,2.404
"Lusk ",Niobrara,1.447,1.567,1.578
Lyman,Uinta,1.938,2.115,2.077
Manderson,Big Horn,104,114,117
Manville,Niobrara,101,95,93
Marbleton,Sublette,720,1.094,1.114
Medicine Bow,Carbon,274,284,277
Meeteetse,Park,351,327,327
Midwest,Natrona,408,404,412
Mills,Natrona,2.591,3.461,3.69
Moorcroft,Crook,807,1.009,1.036
Mountain View,Uinta,1.153,1.286,1.304
"Newcastle ",Weston,3.065,3.532,3.513
Opal,Lincoln,102,96,99
Pavillion,Fremont,165,231,240
Pine Bluffs,Laramie,1.153,1.129,1.146
Pine Haven,Crook,222,490,498
"Pinedale ",Sublette,1.412,2.03,1.958
Powell,Park,5.373,6.314,6.407
Ranchester,Sheridan,701,855,943
"Rawlins ",Carbon,8.538,9.259,9.227
Riverside,Carbon,59,52,53
Riverton,Fremont,9.31,10.615,10.953
Rock River,Albany,235,245,245
Rock Springs,Sweetwater,18.708,23.036,24.045
Rolling Hills,Converse,449,440,439
Saratoga,Carbon,1.726,1.69,1.692
"Sheridan ",Sheridan,15.804,17.444,17.916
Shoshoni,Fremont,635,649,655
Sinclair,Carbon,423,433,424
Star Valley Ranch,Lincoln,776,1.503,1.541
"Sundance ",Crook,1.161,1.182,1.239
Superior,Sweetwater,244,336,332
Ten Sleep,Washakie,304,260,253
Thayne,Lincoln,341,366,364
"Thermopolis ",Hot Springs,3.172,3.009,3.02
"Torrington ",Goshen,5.776,6.501,6.736
Upton,Weston,872,1.1,1.104
Van Tassell,Niobrara,18,15,15
Wamsutter,Sweetwater,261,451,503
"Wheatland ",Platte,3.548,3.627,3.659
"Worland ",Washakie,5.25,5.487,5.366
Wright,Campbell,1.347,1.807,1.847
Yoder,Goshen,169,151,161
